nominativo,regione,sesso,città_nascita,lat,lon,scheda,link,id
Antonio Ronchi,Emilia-R.,M,Casalfiumanese (BO),44.30058,11.6234,"Antonio Ronchi Nato a Casalfiumanese (BO) il 22 novembre 1922, meccanico Battaglione Pianura, Brigata Sap Imola-Santerno Tenente",https://www.noipartigiani.it/ronchi-anotnio/,728767128
Augusto Monteventi,Emilia-R.,M,Anzola Emilia (BO),44.54714,11.19655,"Augusto Monteventi Nato ad Anzola dell’Emilia il 21 luglio 1922, commesso Nome di battaglia “Toso” Sap L’intervista è stata realizzata nel 2002",https://www.noipartigiani.it/monteventi/,728767279
Armando Bonfiglioli,Emilia-R.,M,Anzola Emilia (BO),44.54714,11.19655,"Armando Bonfiglioli Nato ad Anzola dell’Emilia (BO) il 19 novembre 1922, operaio meccanico Nome di battaglia “Nino” Responsabile del Fronte della Gioventù di Anzola, ha partecipato alla battaglia di Porta Lame il 7 novembre 1944 L’intervista è stata realizzata nel 2002",https://www.noipartigiani.it/bonfiglioli/,728767024
Francesca Mainini,Lombardia,F,Vanzaghello (MI),45.57861,8.78416,"Francesca Mainini Nata a Vanzaghello (MI) il 28 settembre 1917, operaia Ha svolto la sua attività di sostegno alla Resistenza a Legnano L’intervista è stata realizzata nel 2009",https://www.noipartigiani.it/mainini-francesca/,728767510
Ottavio Valgimigli,Toscana,M,Strada Casentino (AR),43.74312,11.71387,"Ottavio Valgimigli Nato a Strada in Casentino (AR), 1 marzo 1926 Nome di Battaglia “Tempesta” Sap di Rignano",https://www.noipartigiani.it/valgimigli/,728766930
Samuele Turconi,Lombardia,M,Legnano (MI),45.596,8.91924,"Samuele Turconi Nato a Legnano nel 1923 Nome di battaglia “Sandro” Comandante del gruppo partigiano di Gorla Maggiore, protagonista della battaglia della Cascina Mezzafame, autore dell’attentato all’Albergo Mantegazza. La sua storia è raccontata nel libro “Sognando la libertà, il partigiano Sandro” di Alberto Centinaio. L’intervista è stata realizzata nel 2009",https://www.noipartigiani.it/turconi/,727774636
Francesco Grandi,Emilia-R.,M,Imola (BO),44.35345,11.71424,"Francesco Grandi Nato a Imola (BO) il 3 giugno 1924, ortolano Battaglione Città, Brigata Sap Imola",https://www.noipartigiani.it/grandi-francesco/,728766762
Ettore Morini,Emilia-R.,M,Imola (BO),44.35345,11.71424,Ettore Morini Nato a Imola (BO) il 6 aprile 1925 Nome di battaglia “Sergio” Partigiano Combattente 7^ Brigata GAP “Gianni Garibaldi”,https://www.noipartigiani.it/morini-ettore/,727705300
Renzo Ricci Picciloni,Emilia-R.,M,Barbiano (RA),44.40938,11.87103,"Renzo Ricci Picciloni Nato a Barbiano di Cotignola (RA), il 3 settembre 1926, operaio Nome di battaglia “Toni” Brigata Bianconcini Battaglione Libero",https://www.noipartigiani.it/ricci-picciloni/,727705617
Alfiero Salieri,Emilia-R.,M,Fontanelice (BO),44.26007,11.5623,Alfiero Salieri Nato a Fontanelice (BO) il 15 marzo 1927 Sap di Imola,https://www.noipartigiani.it/salieri-alfiero/,727705837
Tino Cornalba,Lombardia,M,Agnadello (CR),45.4465,9.56312,"Tino Cornalba Nato ad Agnadello (CR), 1 agosto 1925, operaio Nome di battaglia “Romeo” Staffetta L’intervista è stata realizzata nel settembre 2022",https://www.noipartigiani.it/cornalba-tino/,727706491
Giuseppe Stellica,Toscana,M,Arzengio (MS),44.38573,9.87103,"Giuseppe Stellica Nato ad Arzengio, Pontremoli, (MS) nel 1924 2ª Brigata Julia L’intervista è stata realizzata nel dicembre 2008",https://www.noipartigiani.it/stellica-giuseppe/,727705932
Candido Poli,Lombardia,M,Legnano (MI),45.596,8.91924,"Candido Poli Nato a Legnano, Milano, il 31 luglio 1923, operaio Ha collaborato con la formatione di “Albertino” Marcora: catturato nel gennaio 1944 fu deportato a Dachau L’intervista è stata realizzata nel 2009",https://www.noipartigiani.it/poli-candido/,727774283
Vasco Caldini,Toscana,M,Rignano Arno (FI),43.72251,11.4507,"Vasco Caldini Nato a Rignano sull’Arno, Firenze, il 14 luglio 1924 Sap di Rignano Nome di battaglia “Fra Diavolo” L’omicidio a cui fa riferimento nell’intervista è quello avvenuto il 3 agosto 1944 quando i tedeschi uccisero Cesarina Mazzetti, Luce e Annamaria Einstein, moglie e figlie di Robert, cugino di Albert Einstein",https://www.noipartigiani.it/caldini-vasco/,727706403
Giordano Marafon,Veneto,M,Albettone (VI),45.35824,11.58318,"Giordano Marafon Nato ad Albettone (VI) il 6 giugno 1929, studente Nome di battaglia “Bocia” Staffetta, poi in montagna nella Brigata “Luigi Pierobon” L’intervista è stata realizzata nel 2009",https://www.noipartigiani.it/marafon-giordano/,727705143
Giovanni B. Stucchi,Lombardia,M,Monza,45.58417,9.27338,"Giovanni Battista “Gibi” Stucchi Nato a Monza il 9 ottobre 1899, avvocato Nome di battaglia “Magni”, “Federici”. Rappresentò il Partito Socialista nel Comitato Militare del CLNAI, l’organo che si occupava dell’organizzazione militare della Resistenza. Ha partecipato ai colloqui con gli Alleati in Svizzera Nella celebre foto della sfilata di Milano, 6 maggio 1945, è il secondo da sinistra L’intervista è stata realizzata nel 1979",Non trovato nel Foglio3,#N/A
Antonio Benni,Lombardia,M,Pralboino (BS),45.26884,10.21822,"Antonio Benni Nato a Pralboino, Brescia, il 27 marzo 1930 Nome di battaglia “Lino” Staffetta L’intervista è stata realizzata nel giugno 2022",https://www.noipartigiani.it/benni-antonio/,727706339
Armando Gasiani,Emilia-R.,M,Castello di Serravalle (BO),44.43714,11.03366,"Armando Gasiani Nato a Castello di Serravalle (BO) il 27 gennaio 1927, contadino Nome di battaglia “Bolero” Battaglione Artioli, 63ª Brigata Bolero Garibaldi Deportato a Mauthausen con il fratello Serafino: entrambi salvi, Serafino è morto però nel luglio del 1945 in conseguenza della tubercolosi non curata nel lager L’intervista è stata realizzata nel 2000",https://www.noipartigiani.it/gasiani-2/,728077601
Giovanni Tognarelli,Toscana,M,Zeri (MS),44.34974,9.76103,Giovanni Tognarelli Nato a Zeri (MS) il 2 dicembre 1930 Con la famiglia ha ospitato clandestini inglesi e australiani e ha collaborato con la Resistenza della zona come staffetta,https://www.noipartigiani.it/tognarelli-giovanni/,727774402
Federico Tallarico,Calabria,M,Marcedusa (CZ),39.03412,16.83297,"Federico Tallarico Nato a Marcedusa, Catanzaro, il 20 gennaio 1917, laureato in Lettere Banda Nicoletta, Brigata “Secondo Nebiolo” Nome di battaglia “Frico” L’intervista è stata realizzata da Maurizio Marzolla e Maria Tarzia il 2 aprile 2007",https://www.noipartigiani.it/federico-tallarico/,727746498
Noemio Noferini,Emilia-R.,M,Imola (BO),44.35345,11.71424,"Noemio Noferini Nato a Imola, il 23 luglio 1931 Ha collaborato con i fratelli Sergio, Pietro e Pierina nelle Sap Imola. La madre Maria Zanotti fu ucciso dai fascisti il 29 aprile 1944 durante la manifestazione delle donne per il pane",https://www.noipartigiani.it/noferini_noemio/,727717769
Giuseppina Marcora,Lombardia,F,Inveruno (MI),45.51268,8.85243,"Giuseppina Marcora Nata a Inveruno, Milano, il 23 febbraio 1920, impiegata Nome di battaglia “Pinetta” Staffetta per il Raggruppamento “Alfredo Di Dio” di cui era vicecomandate il fratello Giovanni Marcora “Albertino”, poi politico e ministro Dc L’intervista è stata realizzata nel 2009",https://www.noipartigiani.it/marcora_giuseppina/,725212906
Anna Nabruzzo,Piemonte,F,Torino,45.06775,7.68249,"Anna Nabruzzo Nata a Torino il 21 luglio 1926 Staffetta, ha operato nella zona di Biella Distaccamento Pisacane",https://www.noipartigiani.it/nabruzzo_anna/,726711815
Liliana Lanzarini,Emilia-R.,F,Monteveglio (BO),44.47131,11.09655,Liliana Lanzarini Nata a Monteveglio (BO) il 2 aprile 1925 La casa della sua famiglia era una base partigiana e lei ha svolto attività di staffetta e sostegno alla Resistenza nel comune di Anzola dell’Emilia L’intervista è stata realizzata nel 2002 da Antonella Restelli,https://www.noipartigiani.it/lanzarini/,726969285
Vera Michelin Salomon,Toscana,F,Carema (TO),45.58318,7.81174,"Vera Michelin Salomon Nata a Carema (TO) il 4 novembre 1923, insegnante Comitato Studentesco di Agitazione Deportata ad Aichach (Alta Baviera), viene liberata il 29 aprile 1945 L’intervista è stata realizzata da Stefano Ceccarelli e Nadia Davini",https://www.noipartigiani.it/salomon_vera/,726952842
Armando Vignoli,Emilia-R.,M,Bologna,44.49367,11.34303,Armando Vignoli Nato Bologna il 24 giugno 1922 Nome di battaglia “Pezzi” Ha svolto la sua attività partigiana prima in Veneto poi in Emilia Romagna,https://www.noipartigiani.it/vignoli_armando/,726703606
Silvana Guazzaloca,Emilia-R.,F,Bologna,44.49367,11.34303,"Silvana Guazzaloca Nata a Bologna il 31 gennaio 1928, pellicciaia 63ª Brigata Bolero, 7ª Brigata Modena-Divisione Modena Armando Nome di battaglia “Miria” Partigiana combattente La sua testimonianza “Odissea delle staffette” è contenuta nel libro “Al di qua della Gengis Khan. I partigiani raccontano” L’intervista è stata realizzata nel 2000",https://www.noipartigiani.it/guazzaloca_silvana/,726693693
Vivetta Romolini,Toscana,F,Galciana (PO),43.88243,11.05389,"Vivetta Romolini Nata a Galciana, Prato, il 15 febbraio 1925 Nome di battaglia “Tata” Ha partecipato a sabotaggi e ha svolto attività di sostegno alla Resistenza",https://www.noipartigiani.it/romolini_vivetta/,726646428
Giuseppe Pastore,Piemonte,M,Levone (TO),45.31855,7.5458,"Giuseppe Pastore Nato a Levone Canavese, Torino, il 9 ottobre 1924 Dopo aver rubato delle armi da una caserma per mandarle in montagna, è stato picchiato e torturato per mesi nelle Carceri Nuove di Torino L’intervista è stata realizzata nel giugno 2022",https://www.noipartigiani.it/pastore_giuseppe/,726092965
Wanda Borgioli,Toscana,F,Carrara,44.07727,10.09848,"Wanda Borgioli Nata a Carrara, il 7 agosto 1924 Formazione Menconi Partigiana combattente L’intervista è stata realizzata nel febbraio 2022",https://www.noipartigiani.it/wanda_borgioli/,722991859
Luigi Morazzini,Lombardia,M,Seriate (BG),45.68417,9.71881,"Luigi Morazzini Nato a Seriate, Bergamo, 1 settembre 1921 Ha militato in una formatione dell’Elas, i partigiani greci, a Patrasso L’intervista è stata realizzata nell’aprile 2022",https://www.noipartigiani.it/morazzini/,722636157
Vittoriano Zaccherini,Emilia-R.,M,Dozza (BO),44.35914,11.62781,"Vittoriano Zaccherini Nato a Dozza Imolese (BO) il 28 novembre 1926 Nome di battaglia “Pinto” Partigiano Combattente – Sergente Fronte della Gioventù, Battaglione Sap Montano , GAP operante nella zona di Spazzate Sassatelli. Arrestato, fu deportato a Mauthausen dal dicembre 1944 al 5 maggio 1945 È stato Presidente dell’ANED, Associazione Nazionale ex Deportati, di Imola",https://www.noipartigiani.it/vittoriano-zaccherini/,700505578
Romolo Ghini,Emilia-R.,M,Argenta (FE),44.61361,11.83611,"Romolo Ghini Nato ad Argenta (Fe) nel 1930 Figlio di Primo Ghini “Manazza”, Medaglia di bronzo al valor militare, racconta l’ambiente della Resistenza di Argenta dove, benché molto giovane, anche lui diede un contributo come aiuto agli sbandati e guida. Nell’intervista cita l’eccidio di Filo dove, l’8 settembre 1944, dieci civili furono uccisi per rappresaglia dai nazisti Una sua testimonianza compare nel libro di Matilde Morselli “Differenti. Volti e sguardi della Resistenza” L’intervista è stata realizzata da Rita Bertoncini nell’ aprile 2011",https://www.noipartigiani.it/romolo-ghini/,700478029
Mario Cerati,Lombardia,M,Introbio (LC),45.97232,9.4507,"Mario Cerati Nato a Introbio (CO) il 30 marzo 1914, studente Nome di battaglia “Romolo” 2° Divisione Garibaldi, 55° Brigata “Fratelli Rosselli” Valsassina L’intervista è stata realizzata nel 2004",https://www.noipartigiani.it/mario-cerati/,700395138
Guerrino Comoli,Piemonte,M,Rimini,44.05938,12.56843,"Guerrino Comoli Nato a Rimini il 10 aprile 1926 Nome di battaglia “Negar”, “Nuara” Partigiano Combattente della 81ª “Volante Loss” inquadrata 1ª Divisione Garibaldi Pajetta. La sua storia è raccontata in “E io c’ero. Ricordi di un partigiano” L’intervista è stata realizzata nel 2015 da Enrico Omodeo Salè per il progetto “Gli ultimi partigiani”",https://www.noipartigiani.it/guerrino-comoli/,700070001
Giancarlo Ziotti,Emilia-R.,M,Ferrara,44.83448,11.61986,"Giancarlo Ziotti Nato a Ferrara il 23 dicembre 1926, studente Nome di battaglia “Brunetto” Responsabile del Fronte della Gioventù La sua casa era una importante base partigiana e tutta la sua famiglia, in particolare il padre Giuseppe, era impegnata nella Resistenza. Una sua testimonianza compare nel libro di Matilde Morselli “Differenti. Volti e sguardi della Resistenza” L’intervista è stata realizzata da Rita Bertoncini nel febbraio 2011",https://www.noipartigiani.it/giancarlo-ziotti/,700068200
Fulvio Bernacchi,Lombardia,M,Legnano (MI),45.596,8.91924,"Fulvio Bernacchi Nato a Legnano (MI) nel 1926, operaio Nome di battaglia “Valter” Partigiano combattente Entra nel Fronte della Gioventù operando azioni di sabotaggio passa alla 182° Brigata Garibaldi SAP “Mauro Venegoni” operante a Legnano e Gorla L’intervista è stata realizzata nel gennaio 2009",https://www.noipartigiani.it/fulvio-bernacchi/,696309022
Lidia Bellodi,Emilia-R.,F,Bondeno (FE),44.88879,11.41507,"Lidia Bellodi Nata a Bondeno (Fe) nel 1925, contadina e donna di servizio Staffetta Il 18 febbraio 1945 ha partecipato alla protesta delle donne che occuparono la piazza di Bondeno dove diedero l’assalto al Municipio e bruciarono i registri di leva. Con lei l’amica Silvana Lodi “Carla” organizzatrice dei Gruppi di Difesa della Donna. Una sua testimonianza compare nel libro di Matilde Morselli “Differenti. Volti e sguardi della Resistenza” L’intervista è stata realizzata da Rita Bertoncini nel marzo 2011",https://www.noipartigiani.it/lidia-bellodi/,699996525
Settimio Pagnini,Liguria,M,Savona,44.30752,8.4811,"Settimio Pagnini Nato a Savona l’11 gennaio 1921 Nome di battaglia “Otto” Partigiano Combattente – Vicecomandante di Divisione Comando, Divisione Garibaldi Sap Gramsci II zona operativa L’intervista è stata realizzata da Diego Scarponi per il progetto Liberazione 70",https://www.noipartigiani.it/settimio-pagnini/,699992791
Giacomino Foglia,Piemonte,M,Barengo (NO),45.57566,8.51139,"Giacomino Foglia Nato a Barengo (NO) il 14 marzo 1925 Nome di battaglia: “Tek” «Volante Azzurra», 82^ Brigata Osella L’intervista è stata realizzata nel 2015 da Enrico Omodoeo Salè",https://www.noipartigiani.it/giacomino-foglia/,699868654
Renzo Marenco,Liguria,M,Savona,44.30752,8.4811,"Renzo Marenco Nato a Savona il 13 marzo 1927 Nome di battaglia “Lory”,“Morgan” Partigiano Combattente 2° Brigata Falco, Divisione Garibaldi Sap Gramsci II zona operativa L’intervista è stata realizzata nel 2015",https://www.noipartigiani.it/renzo-marenco/,699612117
Marta Pascucci,Liguria,F,Milano,45.46419,9.18963,"Marta Pascucci Nata a Milano il 24 gennaio 1925, impiegata Nome di battaglia “Pera” Staffetta Partigiana combattente del settimo distaccamento Ovidio Sabatini, Brigata “Spartaco Lavagnini”, operante in Val d’Orcia , dove era sfollata con la famiglia L’intervista è stata realizzata da Diego Scarponi nel 2015",https://www.noipartigiani.it/marta-pascucci/,699611857
Luigi Gaggero,Liguria,M,Savona,44.30752,8.4811,"Luigi Gaggero Nato a Savona il 10 dicembre 1927 Nome di battaglia “Secondo” Partigiano Combattente – Vicecommissario di squadra 3° Brigata Colombo, Divisione Garibaldi Sap Gramsci II zona operativa",https://www.noipartigiani.it/luigi-gaggero/,699611625
Gilberto Melli,Emilia-R.,M,Casalfiumanese (BO),44.30058,11.6234,Gilberto Melli Nato a Casalfiumanese (BO) il 4 agosto 1927 Nome di battaglia “Patata” Partigiano Combattente 7^ Brigata GAP Garibaldi “Gianni”,https://www.noipartigiani.it/gilberto-melli/,699589839
Rachele Sala,Lombardia,F,Cinisello B. (MI),45.55824,9.21319,"Rachele Sala Nata a Cinisello (MI) 16 giugno 1920, operaia Partigiano Combattente – Collegatrice 2^ Divisione Redi 55° Brigata “Fratelli Rosselli”",https://www.noipartigiani.it/rachele-sala/,699575854
Edoardina Cereda,Lombardia,F,Cinisello B. (MI),45.55824,9.21319,Edoardina Cereda (Dina) Nata a Cinisello (MI) il 10 ottobre 1924 Nome di battaglia “Angela” Patriota In Val Seriana raccoglie fondi e aiuti per i Partigiani A Cinisello opera come collegamento tra l’organizzazione clandestina alla Breda e la 55° Brigata “Fratelli Rosselli” Fa da collegamento con la 119^ Brigata Garibaldi Sap “Quintino di Vona” Dopo la liberazione fa parte del CLN in rappresentanza dell’UDI,https://www.noipartigiani.it/dina-cereda/,699575793
Teodoro Santambrogio,Lombardia,M,Legnano (MI),45.596,8.91924,"Teodoro Santambrogio Nato a Legnano (MI) il 17 gennaio 1926 Fronte della Gioventù e appoggio alle formazioni clnadestine della città. Il fratello Angelo, uno dei capi degli scioperi alla fabbrica Tosi, il 5 gennaio 1944 venne arrestato, torturato a San Vittore e successivamente deportato a Mauthausen dove morì L’intervista è stata realizzata nel febbraio 2009",https://www.noipartigiani.it/teodoro-santambrogio/,699554554
Irene Dormeletti,Lombardia,F,Gorla Maggiore (VA),45.66416,8.88914,Irene Dormeletti Nata a Gorla Maggiore (VA) 2 agosto 1920 Operò nella 101° Brigata Garibaldi SAP attiva sul territorio di Legnano e Gorla Una sua intervista compare in “Donne per la libertà. Storie partigiane al femminile” “Appunti per una storia della Resistenza gorlese” L’intervista è stata realizzata nel settembre 2009,https://www.noipartigiani.it/irene-dormeletti/,699550051
Giuseppe Dozio,Lombardia,M,Milano,45.46419,9.18963,"Giuseppe Dozio Nato a Milano il 10 dicembre 1928 Nome di battaglia “Mirko” Partigiano Combattente 113^ Brigata SAP 8° distaccamento “Barona” collabora anche con i GAP Ricercato, raggiunge la Val d’Ossola nella 85^ Brigata “Val Grande” L’intervista è stata realizzata da Sandro Lecca nel febbraio 2016",https://www.noipartigiani.it/giuseppe-dozio/,699514672
Vito Peretti,Emilia-R.,M,Lagosanto (FE),44.76296,12.14382,Vito Peretti Nato a Lagosanto (FE) il 22 ottobre 1926 Nome di battaglia “Vito” Partigiano Combattente 35^ Brigata Garibaldi bis “Mario Babini” Una sua testimonianza compare nel libro di Matilde Morselli “Differenti. Volti e sguardi della Resistenza” L’intervista è stata realizzata da Rita Bertoncini nell’aprile 2011,https://www.noipartigiani.it/vito-peretti/,699503478
Velia Evangelisti,Emilia-R.,F,Bondeno (FE),44.88879,11.41507,Velia Evangelisti Caleffi Nata a Bondeno (FE) il 30 ottobre 1924 Nome di battaglia “Emma” Staffetta militare nella 35^ Brigata Garibaldi “Bruno Rizzieri” Insignita di Croce al merito di guerra Una sua testimonianza compare nel libro di Matilde Morselli “Differenti. Volti e sguardi della Resistenza” L’intervista è stata realizzata da Rita Bertoncini nel febbraio 2011,https://www.noipartigiani.it/velia-evangelisti-caleffi/,699503287
Radames Costa,Emilia-R.,M,Ferrara,44.83448,11.61986,"Radames Costa Nato a San Martino di Ferrara (FE) il 3 dicembre 1930 Collaborò con il padre Ugo, Capo di Stato Maggiore del Comando Gruppo Brigate Ferrara, ucciso dai nazifascisti il 25 marzo 1945 insieme con i partigiani Luciano Gualandi “Marco” e Giorgio Malaguti “Biondino” Radames studiò nella Scuola- Convitto dell’ANPI, divenne Presidente della Provincia e Sindaco di Ferrara L’intervista è stata realizzata nel 2011 da Rita Bertoncini",https://www.noipartigiani.it/radames-costa/,699503102
Enrico G. Mirengo,Liguria,M,Savona,44.30752,8.4811,"Enrico Giacinto Mirengo Nato a Savona il 21 giugno 1928 Nome di battaglia “Rimini” Partigiano Combattente – Sergente 2° Brigata Sambolino, 1° Divisione Garibaldi Bevilacqua II zona operativa",Non trovato nel Foglio3,#N/A
Armando Tribuna,Liguria,M,Cengio (SV),44.38573,8.21445,"Armando Tribuna Nato a Cengio (SV) il 9 giugno 1924 Nome di battaglia “Mando” Partigiano Combattente – Sergente 4° Brigata Valbormida Giuliani, Divisione Autonoma Fumagalli II zona operativa",https://www.noipartigiani.it/armando-tribuna/,698801827
Anna Pirc,Liguria,F,Sgonico (TS),45.73315,13.71387,Anna Pirc Nata a Sgonico (TS) l’8 luglio 1926 Nome di battaglia “Diana” Partigiano Combattente 117° Brigata Garibaldi Sap Jori VI zona operativa,https://www.noipartigiani.it/anna-pirc/,698801545
Adriana Colla,Liguria,F,Susa (TO),45.1384,7.04944,Adriana Colla Nata a Susa (TO) il 29 ottobre 1922 Nome di battaglia “Vittoria” Partigiana Combattente 114° Brigata Garibaldi,https://www.noipartigiani.it/adriana-colla/,698801274
Giacomo Bruni,Lombardia,M,Zavattarello (PV),44.86659,9.26652,Giacomo Bruni Nato a Zavatterello (PV) il 20 febbraio 1922 Nome di battaglia “Arturo” 87° Brigata Garibaldina Crespi Subito dopo la liberazione viene inviato a Dongo: fu lui a guidare il camion che portò a piazzale Loreto i cadaveri di Mussolini e dei gerarchi di Salò,https://www.noipartigiani.it/giacomo-bruni-alfredo-pallini/,697930656
Alfredo Pallini,Lombardia,M,Zavattarello (PV),44.86659,9.26652,Alfredo Pallini Nato a Zavatterello (PV) il 30 giugno 1924 Nome di battaglia “Mugnaio” È entrato subito a fare parte delle prime bande partigiane dopo l’8 settembre del 1943. 87ª Brigata Garibaldi L’intervista è contenuta in “Noi partigiani dell’Oltrepo” di Ivano Tajetti,https://www.noipartigiani.it/giacomo-bruni-alfredo-pallini/,697930656
Adriano Nardi,Emilia-R.,M,Riolo Terme (RA),44.27621,11.7222,"Adriano Nardi Nato a Riolo Terme (RA) il 4 gennaio 1926 3° Battaglione 36ª Brigata Garibaldi “Bianconcini” Sergente Il fratello Giovanni “Caio”, Medaglia d’argento al Valor Militare alla memoria fu ucciso l’8 maggio 1944",https://www.noipartigiani.it/adriano-nardi/,697736083
Angelo Ravaioli,Emilia-R.,M,Dozza (BO),44.35914,11.62781,"Angelo Ravaioli Nato a Dozza Imolese (BO) Nome di battaglia “Angiulin” Staffetta partigiana – Svolse attività di supporto alla 36° Brigata Garibaldi “Alessandro Bianconcini” operante sull’appennino faentino imolese Nell’intervista cita Luigi Tinti “Bob”, comandante della 36ª Brigata",https://www.noipartigiani.it/angelo-ravaioli/,697735967
Cliseide Delle Fratte,Lazio,F,Zagarolo (RM),41.83694,12.82788,Cliseide (Alessandra) Delle Fratte Nata a Zagarolo (Roma) il 20 marzo 1914 Partigiana Combattente Con il marito Giovanni Verginelli milita nella banda partigiana comunista diretta da Sesto Rolli e collabora ad azioni di resistenza civile. Assiste il 4 giugno 1944 all’arrivo delle truppe alleate e di un contingente di marocchini che si macchiarono di crimini di guerra.,https://www.noipartigiani.it/alessandra-delle-fratte/,697734471
Davide Croci,Lombardia,M,Sanico (CO),46.03314,9.22878,Davide Croci Nato a Sanico (CO) il 5 agosto 1925 Partigiano Combattente 55° Brigata “Fratelli Rosselli” Distaccamento B. Croce L’intervista è stata realizzata nel 2004,https://www.noipartigiani.it/davide-croci/,697653889
Maria Pallotta,Piemonte,F,Omegna (VB),45.91708,8.41822,"Maria Pallotta Nata ad Omegna (VB) il 24 aprile 1923, impiegata Volontaria presso l’ospedale aiutava i partigiani lì ricoverati e tra di loro troverà colui che divenne suo marito, il partigiano Italo Settembri nome di battaglia “Italo Toti”",https://www.noipartigiani.it/maria-pallotta/,696280631
Mario Morsiani,Emilia-R.,M,Ferrara,44.83448,11.61986,"Mario Morsiani Nato a Ferrara il 31 marzo 1926, studente Fece parte dei Gruppi Patriottici democratici-cristiani collegati all’organizzazione “Maffi- Gargioni”, squadra Gian Maria Bonsetti. Nell’intervista fa riferimento a Ruggero Bovelli, vescovo di Ferrara, che ebbe un ruolo importante nella difesa della città e che aiutò la Resistenza. L’intervista è stata realizzata da Rita Bertoncini nel marzo 2011",https://www.noipartigiani.it/mario-morsiani/,696052255
Angelo Celin,Lombardia,M,Noventa Padovana,45.41258,11.95408,Angelo Celin Nato a Noventa Padovana (PD) l’8 marzo 1925 Racconta i giorni della Liberazione quando il paese si organizzò spontaneamente per cacciare i tedeschi L’intervista è stata realizzata nel dicembre 2008,https://www.noipartigiani.it/angelo-celin/,696455380
Angelo Rota,Lombardia,M,Carvico (BG),45.70242,9.48416,"Angelo Rota Nato a Carvico (BG) 16 giugno del 1925, contadino Inviato in Germania con la Divisione Monterosa, rientrato in Italia fugge e si unisce ai partigiani della Val di Susa (Brigate Garibaldi) L’intervista è stata realizzata nel marzo 2009",https://www.noipartigiani.it/angelo-rota/,696307489
Achille Carnevali,Lombardia,M,Legnano (MI),45.596,8.91924,Achille Carnevali Nato a Legnano (MI) l’1 dicembre 1923 Brigata Carroccio Divisione Alfredo Di Dio Sotto la guida di don Carlo Riva (Cappellano della Brigata e figura rilevante della Resistenza legnanese e dell’Alto Milanese) L’intervista è stata realizzata nel marzo 2009,https://www.noipartigiani.it/achille-carnevali/,696304354
Dario G. Rebolini,Liguria,M,Zerba (PC),44.66416,9.17103,"Dario Giuseppe Rebolini Nato a Zerba (PC) il 20 aprile 1924, Nome di battaglia “Lunghi” Divisione Cichero, Brigata Jori L’intervista è stata realizzata da Sergio Gibellini nel 2016",Non trovato nel Foglio3,#N/A
Mario Sirianni,Calabria,M,Soveria M. (CZ),39.08318,16.36873,"Mario Sirianni Nato a Soveria Mannelli (CZ) il 26 settembre 1926, operaio Nome di battaglia “Kent” 183 ª Brigata Garibaldi in Piemonte Partigiano Combattente L’intervista è stata realizzata nel 2008",https://www.noipartigiani.it/mario-sirianni/,696290888
Carlo Manente,Calabria,M,Catanzaro,38.90775,16.59652,"Carlo Manente Nata a Catanzaro il 5 aprile 1924 Renitente, si unisce a una formazione che sta nascendo nel maceratese sotto la guida di Achille Barilatti, militare, Medaglia d’oro alla memoria Il 22 marzo 1944 viene catturato ed è uno dei cinque superstiti dell’eccidio di Montalto di Cessapalombo (MC) da parte del I Battaglione M – IX Settembre inquadrato nella Divisione Brandeburg. Furono 26 gli uomini fucilati L’intervista è stata realizzata nel 2012",https://www.noipartigiani.it/carlo-manente/,696292519
Remo Callone,Trentino-A.A.,M,Trento,46.06642,11.12576,"Remo Callone Nato a Trento il 21 ottobre 1925 Nome di Battaglia “Lucio” Brigata Garibaldi “Mazzini” , Divisione “Nino Nannetti” È autore di fumetti dedicati alla Resistenza “Ragazzi trentini nella Resistenza” e “Ragazzi trentini nelle Brigate garibaldine” Nell’intervista fa riferimento al comandante Mario Pasi, “Alberto Montagna”, ucciso il 10 marzo 1945, Medaglia d’oro L’intervista è stata realizzata nel 2005",https://www.noipartigiani.it/remo-callone/,696317492
Mario Bernardo,Trentino-A.A.,M,Venezia,45.43719,12.33459,"Mario Bernardo Nato a Venezia il 22 febbraio 1919, studente Nome di battaglia “Marino”, “Bela Kun” , “Radiosa Aurora” Brigata Garibaldi “Gramsci”, Capo di stato maggiore Divisione Garibaldi Belluno Nell’intervista fa riferimento al comandante Mario Pasi, “Alberto Montagna”, ucciso il 10 marzo 1945, Medaglia d’oro Le sue esperienze partigiane sono raccolte nel libro “Il momento buono. Il movimento garibaldino bellunese nella lotta di liberazione del Veneto” L’intervista è stata realizzata nel 2005",https://www.noipartigiani.it/mario-bernardo/,696318176
Guido B. Zambiasi,Trentino-A.A.,M,Denno (TN),46.28417,11.04944,"Guido Bruno Zambiasi Nato a Denno (TN) 31 gennaio 1919 Commissario politico della Compagnia G. Manci dislocata nella zona del Brenta, fornisce assistenza e appoggio alla missione alleata Vital. Nelle giornate della Liberazione è responsabile militare (comandante di piazza) di Trento. Nell’intervista fa riferimento al comandante Mario Pasi “Alberto Montagna”, impiccato il 10 marzo 1945, Medaglia d’oro L’intervista è stata realizzata nel 2005",Non trovato nel Foglio3,#N/A
